"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"1","162-64538",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.933,955
"2","162-64539",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885
"3","162-64540",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715
"4","162-64541",2011,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0.479,980
"5","162-64542",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022,815
"6","162-64543",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,730
"7","162-64544",2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.035,585
"8","162-64545",2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,735
"9","162-64546",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838
"10","162-64547",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,890
"11","162-64548",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,840
"12","162-64549",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,745
"13","162-64579",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,872
"14","162-64580",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,792
"15","162-64581",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,802
"16","162-64582",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,707
"17","162-64583",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,802
"18","162-64584",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637
"19","162-64586",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,812
"20","162-64587",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,797
"21","162-64588",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,762
"22","162-64589",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657
"23","162-64594",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905
"24","162-64595",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.798,850
"25","162-64596",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,810
"26","162-64597",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,915
"27","162-64598",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760
"28","162-79104",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,528
"29","162-79105",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,583
"30","162-79106",2012,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.645,883
"31","162-79107",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31,543
"32","162-79108",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.12,748
"33","162-79109",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,488
"34","162-79110",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.422,733
"35","162-79111",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,628
